,freq,lemma1,lemma2
1146,12,',natuurlijk
1147,130,',nee
1148,3,',nemen
1149,1,',nerd
1150,3,',net
1151,2,',nie
1152,1,',niemand
1153,18,',niet
1154,1,',niets
1155,3,',nieuw
1156,1,',nii
1157,7,',niks
1158,1,',nnnn-eeee
1159,2,',no
1160,3,',noemen
1161,14,',nog
1162,2,',nooit
1163,1,',nope
1164,4,',normaal
1165,71,',nou
1166,15,',nu
1167,5,',o
1168,1,',oMG
1169,3,',ochtend
1170,1,',oen
1171,20,',of
1172,1,',og
1173,9,',oh
1174,1,',ohhn
1175,1,',ok
1176,9,',oke
1177,1,',okeej
1178,1,',okey
1179,1,',okk
1180,5,',oké
1181,2,',om
1182,2,',oma
1183,15,',omdat
1184,5,',onder
1185,2,',onderbreken
1186,1,',ondertussen
1187,2,',onee
1188,2,',ongebruikelijk
1189,1,',onnoval
1190,1,',onopgemerkt
1191,1,',ontwerpen
1192,1,',onweer
1193,1,',oog
1194,11,',ook
1195,2,',oom
1196,21,',op
1197,4,',opa
1198,8,',opeens
1199,2,',opschrijven
1200,1,',optocht
1201,2,',orkest
1202,1,',oud
1203,1,',outoewel
1204,6,',over
1205,1,',overal
1206,2,',paashaas
1207,1,',paf
1208,2,',pak
1209,1,',pakjesboot
1210,1,',pap
1211,2,',papa
1212,1,',partij
1213,1,',patrouille
1214,1,',pauze
1215,1,',pen
1216,1,',pest
1217,1,',pff
1218,3,',pfff
1219,1,',piept
1220,1,',piepte
1221,1,',ping
1222,2,',pingelt
1223,1,',plaat
1224,1,',plek
1225,1,',plotseling
1226,1,',plz
1227,1,',poes
1228,1,',poot
1229,1,',poseren
1230,1,',proesten
1231,1,',r
1232,5,',raar
1233,2,',rass
1234,1,',rekenen
1235,1,',rennen
1236,2,',restaurant
1237,6,',riepen
1238,1,',rij
1239,2,',ringeling
1240,10,',roep
1241,104,',roepen
1242,10,',roept
1243,1,',ront
1244,1,',rugzak
1245,2,',rustig
1246,3,',s
1247,2,',s-Avonds
1248,2,',s-Heerenberg
1249,2,',s-Hertogenbosch
1250,1,',s-Mmiddags
1251,1,',s-Morgens
1252,1,',s-Winters
1253,1,',s-Zomers
1254,3,',s-avonds
1255,1,',s-middags
1256,2,',s-nachts
1257,1,',s-ochtend
1258,3,',s-ochtends
1259,1,',sMiddags
1260,1,',sOchtends
1261,1,',safari
1262,3,',samen
1263,1,',savond
1264,1,',schat
1265,1,',schelden
1266,1,',schoen
1267,1,',schoolreis
1268,1,',schreeuw
1269,1,',schreeuwde
1270,1,',schreeuwden
1271,20,',schreeuwen
1272,1,',schrijf
1273,19,',schrijven
1274,1,',schrijven/typen
1275,1,',schuden
1276,2,',schuld
1277,1,',sinterklaas-dingetjes
1278,2,',sist
1279,1,',siste
1280,1,',sje
1281,1,',slaap
1282,1,',slaapkamer
1283,1,',slap
1284,1,',slecht
1285,1,',slim
1286,1,',sluiter
1287,1,',smstaal
1288,1,',smurfensnot
1289,11,',snel
1290,2,',sniken
1291,1,',som
1292,1,',sommig
1293,3,',soms
1294,12,',sorry
1295,5,',sparkel
1296,2,',spelen
1297,2,',spelling
1298,1,',spookhuis
1299,1,',spreek
1300,1,',spring
1301,2,',srry
1302,1,',sst
1303,1,',staan
1304,1,',staat
1305,1,',stad
1306,2,',staf
1307,1,',stap
1308,1,',stel
1309,1,',stellen
1310,1,',stiekem
1311,1,',stoer
1312,1,',stom
1313,2,',stop
1314,1,',stotteren
1315,1,',stottren
1316,1,',stout
1317,5,',straks
1318,1,',stuur
1319,1,',sukkel
1320,1,',sunnieday
1321,1,',super
1322,4,',taal
1323,1,',talent
1324,1,',tas
1325,9,',te
1326,1,',team
1327,2,',tegen
1328,1,',tekening
1329,1,',terug
1330,3,',terugroepen
1331,3,',terwijl
1332,1,',tikkertje
1333,1,',tja
1334,1,',tobij
1335,2,',toch
1336,1,',toe
1337,48,',toen
1338,1,',toeval
1339,4,',tot
1340,1,',toveren
1341,1,',tring
1342,1,',tringgg
1343,2,',trouwens
1344,2,',truc
1345,1,',tuin
1346,1,',tussen
1347,1,',tuurlijk
1348,4,',twee
1349,1,',typ
1350,1,',type
1351,7,',typen
1352,1,',uhu
1353,3,',uit
1354,1,',uitlaten
1355,1,',uitzien
1356,1,',vaak
1357,1,',vader
1358,1,',valerie
1359,10,',van
1360,4,',vandaag
1361,1,',vanmiddag
1362,1,',varen
1363,1,',vast
1364,1,',ve
1365,1,',veRHaaL
1366,3,',veel
1367,1,',ver
1368,1,',verbieden
1369,1,',verdenken
1370,1,',verdomme
1371,1,',verdorie
1372,1,',verjaardag
1373,1,',verkeerd
1374,1,',verrassing
1375,4,',vertellen
1376,1,',video
1377,1,',vier
1378,1,',vijand
1379,1,',viky
1380,2,',vinden
1381,1,',vis
1382,1,',vlinder
1383,1,',voedsel
1384,2,',voet
1385,5,',vogel
1386,1,',vogelhuisje
1387,8,',volgens
1388,1,',voluit
1389,6,',voor
1390,10,',vraag
1391,121,',vragen
1392,3,',vriendin
1393,1,',vriendinne
1394,3,',vrij
1395,2,',vrijdag
1396,1,',vroeg
1397,2,',vrolijk
1398,1,',vrouw
1399,3,',vuurwerk
1400,2,',w
1401,38,',w8
1402,50,',waar
1403,1,',waarheen
1404,1,',waarmee
1405,27,',waarom
1406,7,',waarop
1407,1,',waarover
1408,2,',waarschijnlijk
1409,2,',waarvoor
1410,7,',wacht
1411,43,',wachten
1412,3,',waf
1413,6,',wanneer
1414,12,',want
1415,1,',wartaal
1416,152,',wat
1417,5,',wauw
1418,1,',wdj
1419,95,',we
1420,4,',weer
1421,1,',weg
