,freq,lemma1,lemma2
776,1,11,komen
777,1,11,krijgen
778,1,11,leeftijd
779,2,11,lopen
780,1,11,schieten
781,1,11,verdieping
782,3,11,verjaardag
783,1,11,verschil
784,1,11,weten
785,1,11,zijn
786,1,11,zongen
787,1,11-0,verliezen
788,1,11-0,winnen
789,1,11-10--8,kunnen
790,1,11.00,zijn
791,1,11.tam,maken
792,1,110%,weten
793,1,110,getal
794,1,110,matt
795,1,110,opgegeten
796,1,1100,geven
797,1,1109:LB,telefoonnummer
798,1,111111111111,hebben
799,1,112,Bel
800,1,112,afdrukken
801,6,112,belden
802,8,112,belen
803,116,112,bellen
804,3,112,gebeld
805,1,112,gevaarlijk
806,1,112,hondenleven
807,1,112,inschakelen
808,1,112,kijken
809,8,112,opbellen
810,2,112,terugbellen
811,1,112,toetsen
812,2,112,typen
813,1,112,wachten
814,1,112,weten
815,1,112,zien
816,1,11:00,vertrekken
817,1,11:15,maken
818,1,12,9
819,1,12,aantrekken
820,1,12,gooien
821,1,12,hebben
822,1,12,kaas
823,1,12,keer
824,1,12,komen
825,1,12,mobiel
826,1,12,nachtn
827,2,12,sloeg
828,1,12,staan
829,1,12,tikken
830,1,12,verjaardag
831,1,12,verschil
832,1,120,minuut
833,1,120,rijden
834,1,12005,hebben
835,1,12014,kijken
836,1,123,helpen
837,2,123,zijn
838,1,1232,gaan
839,1,1234,toetsen
840,1,12345,kijken
841,1,123456,kijken
842,1,12:00,doen
843,1,12:00,renden
844,1,12:00,storen
845,1,12jarig,zus
846,1,13,7
847,1,13,beginnen
848,1,13,bouwen
849,1,13,buiten
850,1,13,doen
851,1,13,gaan
852,2,13,hebben
853,2,13,kennen
854,1,13,krijgen
855,1,13,leven
856,1,13,minuut
857,1,13,poetsen
858,1,13,roepen
859,1,13,schrijven
860,1,13,speel
861,1,13,springen
862,1,13,starten
863,1,13,verschil
864,1,13,vieren
865,1,13,vinden
866,1,13,wedstrijd
867,2,13,zeggen
868,1,13-0,winnen
869,1,13-1,verliezen
870,1,13.3,hebben
871,1,130,staan
872,1,13006,weten
873,1,131-133,zien
874,1,132,staan
875,1,1341,winnaar
876,1,13478921:19is,inspireren
877,1,135,hebben
878,1,13:50,gaan
879,1,14,doen
880,1,14,finale
881,2,14,gooien
882,1,14,hebben
883,1,14,minuut
884,2,14,speel
885,1,14,staan
886,1,14,verschil
887,1,14,vinden
888,1,14-0,scoren
889,1,14-00,staan
890,1,14.00,leggen
891,1,14.Er,dier
892,1,15%,gaan
893,1,15,20
894,1,15,42
895,1,15,denken
896,9,15,doen
897,1,15,downloaden
898,1,15,eeuw
899,1,15,hebben
900,1,15,luister
901,1,15,maken
902,1,15,nieuwst
903,1,15,speel
904,1,15,spel
905,2,15,spelen
906,1,15,verschil
907,2,15,vinden
908,1,15,worden
909,1,15,zet
910,1,15,zijn
911,1,15.000,kunnen
912,1,15.Dieren,zijn
913,1,15/14/13,doen
914,1,1500,geven
915,1,15:15,mogen
916,1,15:30,spelen
917,1,15jarig,puber
918,1,15jarig,tiener
919,1,16,doe
920,1,16,verjaardag
921,1,16,verschil
922,1,16,worden
923,1,160000,kosten
924,1,16jarig,zeggen
925,1,17,16
926,1,17,eeuw
927,1,17,hebben
928,1,17,overlijden
929,1,17,verjaardag
930,1,17,verschil
931,1,17-1,scoren
932,1,17-2,staan
933,1,175,Zet
934,1,175,lang
935,1,175,warm
936,1,175C.,zet
937,1,175c,doen
938,1,17:00-20.00,veilingavond
939,1,17:15,gaan
940,1,17c,wacht
941,1,18,keer
942,1,18,kopen
943,1,18,moeten
944,1,18,omwisselen
945,1,18,plek
946,1,18,verschil
947,1,18+spel,spelen
948,1,18-8,spelen
949,1,180,gooit
950,1,180,roepen
951,1,180C.,maakt
952,1,1810,zeggen
953,1,18jarig,kind
954,1,18jarig,leeftijd
955,1,18jarig,meisje
956,1,18jarig,tocht
957,1,18plus,spel
958,1,19,slecht
959,1,19,veiling
960,1,19,winnen
961,1,19,zijn
962,1,19-24,staan
963,1,1938,gebruiken
964,1,1940,toetste
965,1,19:00,beginnen
966,1,19:00,zijn
967,1,1A-theorie,kiezen
968,1,1B,Abderrahman
969,1,1D,wakker
970,1,1D.,hebben
971,1,1djes,maken
972,1,1e,uur
973,1,1r,verdieping
974,1,1sm,groot
975,1,1x,Vouw
976,2,1x,doen
977,1,1x,gaan
978,1,1x,trainen
979,1,1x,uitlaten
980,2,1x,verliezen
981,1,2,13
982,1,2,Heb
983,1,2,Hebben
984,1,2,Kneed
985,1,2,Snij
986,1,2,bekerwedstrijd
987,1,2,beroep
988,1,2,besluiten
989,1,2,bewegen
990,1,2,blijven
991,1,2,bus
992,1,2,cake
993,1,2,cavia
994,4,2,dag
995,1,2,dansen
996,2,2,deel
997,2,2,deur
998,3,2,dier
999,2,2,divisie
1000,1,2,doe
1001,3,2,doen
1002,1,2,draagt
1003,3,2,droom
1004,1,2,duren
1005,1,2,erg
1006,2,2,eten
1007,1,2,familiefilm
1008,1,2,fiets
1009,1,2,fietsen
1010,1,2,film
1011,2,2,gaan
1012,1,2,gedeelte
1013,1,2,genoeg
1014,1,2,goal
1015,1,2,goed
1016,2,2,groep
1017,16,2,hebben
1018,15,2,helft
1019,3,2,hobby
1020,1,2,honk
1021,9,2,jaar
1022,1,2,jarig
1023,1,2,jongen
1024,1,2,kans
1025,1,2,kat
1026,14,2,keer
1027,4,2,kerstdag
1028,1,2,klas
1029,1,2,klasse
1030,1,2,komen
1031,2,2,kopen
1032,4,2,krijgen
1033,1,2,land
1034,3,2,les
1035,1,2,letter
1036,1,2,liepen
1037,2,2,maken
1038,2,2,minuut
1039,2,2,moeten
1040,1,2,nacht
1041,2,2,nemen
1042,1,2,omdraaien
1043,1,2,optie
1044,1,2,oud
1045,1,2,overslaan
1046,6,2,paasdag
1047,2,2,persoon
1048,5,2,plaats
1049,1,2,plek
1050,1,2,prijs
1051,1,2,professor
1052,1,2,punt
1053,1,2,raken
1054,1,2,reizen
1055,1,2,rijden
1056,1,2,rijn
1057,2,2,ronde
1058,1,2,schietspelle
1059,1,2,schrijf
1060,2,2,scoren
1061,1,2,speel
1062,1,2,spel
1063,1,2,spelen
1064,4,2,staan
1065,1,2,stelling
1066,1,2,stijgen
1067,1,2,tijd
1068,1,2,trampoline
1069,1,2,uit
1070,1,2,uur
1071,1,2,vechten
1072,4,2,verdieping
1073,3,2,verliezen
1074,1,2,verschil
1075,1,2,verstoppen
1076,1,2,vieren
1077,4,2,vinden
1078,1,2,vliegen
1079,1,2,vlogen
1080,1,2,voetballer
1081,1,2,vouwen
1082,1,2,waar
1083,6,2,wedstrijd
1084,3,2,week
1085,1,2,weer
1086,2,2,wereld
1087,2,2,weten
1088,2,2,winnen
1089,1,2,wk
1090,1,2,woord
1091,2,2,worden
1092,1,2,zeggen
1093,1,2,zeil
