lemma1,lemma2,freq
mijn,schoen,312
schoen,nat,46
nat,en,268
T-shirt,niet,4
mijn,broek,46
broek,ook,5
ook,niet,5118
niet,Wim,11
Wim,kunnen,19
veel,fietsen,10
fietsen,en,432
en,hij,6037
kunnen,dat,1443
dat,T-shirt,3
veel,aan,203
aan,en,1840
schoen,moeten,4
moeten,drogen,1
drogen,Wim,1
Wim,hebben,95
geen,bloed,20
bloed,en,96
en,schaafwond,1
schaafwond,maar,2
niet,blij,183
blij,en,461
ik,knutselden,17
knutselden,graag,7
graag,en,153
speel,graag,389
graag,met,479
met,me,216
me,knuffel,1
knuffel,en,103
lezen,vaak,3
vaak,en,273
speel,kassaa,1
kassaa,en,1
ik,tekenden,9
tekenden,graag,7
speel,met,319
met,barbie,23
barbie,en,44
speel,heel,171
veel,met,430
me,Xbox,1
Xbox,en,65
me,konijn,1
konijn,en,199
een,hut,370
hut,bouwen,117
bouwen,vinden,11
ik,niet,4875
omdat,ik,4963
dan,alles,51
alles,zelf,30
zelf,moeten,159
moeten,opruimen,44
opruimen,en,192
en,op,3282
de,Xbox,254
Xbox,vinden,4
ik,wel,2082
ik,daar,651
daar,me,2
me,tijger,1
tijger,op,13
op,hebben,171
hebben,ziten,1
ziten,en,6
hebben,het,2299
het,spel,348
spel,boot,1
boot,varen,18
varen,en,66
het,dansspel,1
dat,het,4990
het,mogen,461
mogen,Computeren,1
Computeren,gamen,1
gamen,van,5
van,alles,911
alles,maar,105
moeten,ook,2118
ook,sporten,35
sporten,buiten,9
spelen,noemen,11
noemen,maar,227
maar,op,1532
op,Gamen,3
Gamen,zijn,68
leuk,dus,403
je,mogen,1734
mogen,het,641
het,gewoon,951
gewoon,doen,91
de,mens,3766
mens,mogen,73
niet,verbieden,82
verbieden,maar,16
ook,weer,1144
weer,niet,998
de,heel,4327
heel,dag,1574
dag,gamen,29
gamen,je,28
ook,buiten,542
spelen,maar,1429
je,hoeven,472
hoeven,niet,742
niet,onder,42
onder,een,163
een,sport,347
sport,en,188
zo,buiten,14
spelen,zijn,2455
moeten,het,945
heel,tijd,1408
tijd,doen,43
doen,want,833
want,dan,4288
worden,het,1125
het,saai,271
saai,dat,27
ook,met,1504
met,gamen,33
gamen,en,398
en,computeren,139
het,graan,24
graan,het,1
graan,worden,5
worden,platdrukken,1
platdrukken,daar,1
zijn,ge,5
ge,brood,1
brood,bakken,19
bakken,dan,7
zijn,naar,1507
de,bakker,90
bakker,toe,1
het,eens,845
eens,met,1099
mens,die,2259
die,zeggen,538
zeggen,en,345
en,of,193
of,vinden,35
het,belangrijk,397
belangrijk,zijn,370
er,dierentuin,273
zijn,zodat,39
zodat,kind,66
kind,ding,15
ding,over,102
over,vreemd,163
vreemd,ding,26
ding,leren,152
leren,ik,183
het,met,973
met,hun,1098
hun,eens,11
eens,omdat,422
omdat,je,3753
je,zo,447
zien,hoeveel,12
hoeveel,dier,7
dier,er,245
en,dat,14720
je,leren,979
leren,bij,16
bij,welk,14
welk,dier,104
je,goed,800
goed,uit,119
de,buurt,580
buurt,kunnen,6
kunnen,blijven,71
blijven,ik,304
er,wel/niet,1
wel/niet,dat,1
zielig,zijn,444
zijn,voor,1980
dier,dat,390
het,hok,246
hok,zitten,352
zitten,omdat,82
omdat,aan,3
de,een,1092
een,kant,645
kant,vinden,240
ze,krijgen,2008
krijgen,genoeg,268
genoeg,te,366
te,eten,1990
eten,en,5235
maar,aan,817
ander,kant,1235
ik,dat,3180
ze,eigenlijk,118
eigenlijk,gewoon,98
gewoon,in,585
de,natuur,2149
natuur,moeten,125
moeten,kunnen,211
kunnen,leven,295
leven,zodat,2
zodat,ze,283
ze,wat,252
wat,vrij,9
vrij,kunnen,113
kunnen,zijn,622
om,binnen,513
binnen,te,563
te,meedoen,95
meedoen,spelen,3
