lemma1,lemma2,freq
je,moeten,1039
ruimen,hebben,1
dier,blijven,279
dier,weggaan,15
dier,komen,241
speciaal,vogel,1
je,reizen,53
aap,zien,25
het,kijken,90
dier,zien,843
hetzelfde,zien,19
jijen,vinden,458
je,gezet,17
je,vervelen,226
groot,oceaan,3
dierenreservaat,blijven,1
wat,hebben,539
hamster,hebben,9
knabbelen,heten,3
baby,zijn,28
dat,zijn,1016
keuken,past,1
uur,kijken,5
spelletje,doen,1201
je,computeren,170
veel,computeren,19
ik,genote,25
warm,weer,31
zus,zijn,34
ander,zus,17
hij,laten,349
band,laten,1
band,gaan,14
dat,maken,675
niksen,maken,366
leuk,glijbaan,20
spannend,boeken,30
meester,vragen,10
jullie,gaan,201
sportcarrière,beginnen,1
jullie,moeten,17
jullie,willen,153
hidde,zeggen,5
later,sportcarrière,1
minpunt,zijn,10
kind,hebben,1898
dyslexie,hebben,36
paasdag,doen,1
broer,verzoeken,2
ik,verzoeken,43
paasei,verzoeken,15
1ste,paasdag,1
één,paasei,1
er,hebben,82
negentien,hebben,1
2de,paasdag,5
heel,familie,261
kind,maken,234
eigen,huis,78
cadeau,geven,105
groot,cadeau,40
oma,weet,5
haar,geven,35
euro,krijgen,100
opa,maken,12
die,verkopen,49
hij,verkopen,37
het,spel,175
touwtjespringen,kunnen,7
bezigheid,kunnen,1
favoriet,bezigheid,2
buskruit,doen,14
het,variëren,2
wie,lezen,6
dit,lezen,61
ik,praten,165
ik,vraag,356
botje,vinden,2
wie,vinden,27
die,stel,5
ik,stel,14
ze,zitten,304
ze,jagen,288
zij,kijken,12
ren,lijken,1
ze,spel,1708
ze,staan,384
die,zitten,377
ik,opzoeken,9
iets,opzoeken,26
ik,twijfelen,45
kind,willen,302
zij,bepalen,7
ik,bepalen,24
eigen,leven,65
lars,vragen,2
ik,schreeuwen,77
we,moeten,768
we,pak,109
fiets,pak,5
milou,zeggen,2
lars,zeggen,13
we,fiets,84
we,zet,121
fiets,zet,17
optocht,beginnen,4
ik,zoeken,218
geachte,mevrouw,11
groot,veld,38
voetbal,fiets,3
ik,fiets,79
kans,bestaan,3
u,overleg,1
conclusie,komen,2
voetbalveld,komen,7
vriendelijk,groeten,295
kei,vinden,11
dit,vinden,403
ik,eten,896
hem,eten,88
verhalen,vinden,28
olifant,bedreigen,6
hetzelfde,vinden,15
hond,maken,208
mening,hebben,185
je,mogen,911
eigen,mening,133
band,hebben,105
goed,band,20
Romeins,tijd,31
tijd,zijn,67
ding,uitvinden,8
dierentuin,mogen,101
hokken,maken,107
spul,hebben,97
dier,bedreigen,88
één,leven,1
je,meenemen,171
paren,meenemen,1
dier,brengen,50
kind,zien,238
paren,doen,4
twee,zijn,23
geluk,zijn,2
blauw,huis,7
huis,zijn,82
bord,pakken,131
kaas,pakken,142
koekenpan,pakken,19
deksel,doen,420
kleine,deksel,1
brood,smullen,237
lek,brood,26
ouder,weet,102
ikzelf,vinden,133
eigen,kind,24
je,zitten,2669
die,blaf,38
lammetje,zijn,7
je,optillen,38
ze,optillen,23
drinken,krijgen,25
we,geleerd,52
lammetje,hebben,2
hellen,hebben,3
wol,hebben,3
ze,geschoren,2
schape,zijn,7
die,optillen,4
lammetje,geboren,20
juffrouw,optillen,1
lam,optillen,3
boten,zinken,7
pakje,wegdrijven,1
piet,strooien,13
gelden,strooien,3
cakeje,bak,8
wij,proef,1
ik,vervelen,273
ijsje,eten,234
activiteit,zijn,20
dat,noemen,111
we,noemen,89
breeland,noemen,1
we,eten,946
stokken,opknappen,1
we,mogen,375
vlotten,bouwen,1
het,redden,66
fietsen,eten,2
survivallen,eten,1
baldwinhoeve,fietsen,1
bont,luiden,1
2de,groep,2
laten,groep,1
spul,pak,41
marjan,terugtocht,1
musical,kijken,2
ze,dansen,62
dat,laten,68
ik,winnen,769
paulusschool,winnen,1
we,dansen,55
klas,stem,1
we,winnen,710
wij,gil,4
omg,winnen,1
dreunen,komen,1
laat,dreunen,1
ik,schrikken,771
oorlog,zijn,83
oorlog,staat,1
doden,vallen,21
mens,zien,258
mens,springen,9
het,staan,154
amerika,besluiten,1
nieuw,helikopter,1
niemand,komen,66
Amerikaan,zeggen,1
ze,vergeten,277
dit,vergeten,11
hun,gaan,35
die,helen,2
boos,stof,1
deur,gaan,189
floor,stappen,1
ze,halen,486
ontbijten,halen,1
