lemma,pos,freq
reactiesnelheid,NOUN,1
snel,ADJ,8272
verkleinen,VERB,8
sociaal,ADJ,99
gedrag,NOUN,73
fik,NOUN,70
redden,VERB,650
game,NOUN,886
alleen,ADV,10722
multiplayer,PROPN,12
mulitplayer,ADV,1
minigame,NOUN,10
samen,ADV,3652
sky,PROPN,6
wars,ADJ,14
minecraft,PROPN,129
clash,NOUN,12
clan,NOUN,74
boom,NOUN,3236
Beach,PROPN,11
oprichten,VERB,57
vechten,VERB,751
overwinnen,VERB,16
blijf,VERB,26
60,NUM,112
Ponykamp,PROPN,3
Hogerheide,PROPN,3
5,NUM,2956
augustus,PROPN,85
voeren,VERB,717
gezellig,ADJ,2556
half,ADJ,1833
bos,NOUN,3474
eerst,ADV,5074
poos,NOUN,63
stap,NOUN,1036
draven,VERB,47
Ginger,PROPN,9
crossen,VERB,140
dat.,PUNCT,370
zacht,ADJ,1796
daarheen,ADV,131
filmp,NOUN,529
stelen,VERB,764
gingen,VERB,184
stopten,VERB,12
u,PRON,1956
misschien,ADV,6749
keer,NOUN,8519
paashaas,NOUN,400
paaseier,NOUN,224
opeten,VERB,417
springen,VERB,3387
suikerspin,NOUN,102
dompsie,NOUN,8
duren,VERB,1279
Tring,PROPN,16
tring,NOUN,95
Neerstortingsgevaar,PROPN,1
neerstortingsgevaar,PROPN,1
aah,NOUN,4
o,SYM,89
nee,INTJ,5149
Plons,PROPN,37
geheim,ADJ,277
opblaasboo,NOUN,1
zwom,VERB,132
strand,NOUN,1087
aankomen,VERB,765
are,SYM,13
America,PROPN,6
Amerika,PROPN,438
Oh,SYM,673
thuis,ADV,5522
nooit,ADV,3891
helikopter,NOUN,213
regelen,VERB,154
prutsen,VERB,8
oeps,NOUN,24
verkeerd,ADJ,668
Aaah,SYM,5
verzorgen,VERB,2540
krijgen,AUX,398
vraag,VERB,131
dierenverzorger,NOUN,73
opeens,ADV,3194
vogelgriep,NOUN,4
Vogels,NOUN,964
besmettelijk,ADJ,11
trekvogel,NOUN,14
vogelpoep,NOUN,9
vraag,NOUN,826
boerderij,NOUN,474
kinderboerderij,NOUN,127
sluiten,VERB,340
Einde,NOUN,6795
meestal,ADV,3970
kunst,NOUN,3171
aardig,ADJ,1309
baas,NOUN,1479
vrijwel,ADV,6
niks,PRON,5013
uitmaken,VERB,433
circus,NOUN,5026
professioneel,ADJ,32
leeuw,NOUN,1990
rondkijken,VERB,164
zeker,ADJ,1171
luxe,ADJ,184
slecht,ADJ,3210
behandelen,VERB,959
beest,NOUN,660
dj,NOUN,61
rijk,ADJ,571
geld,NOUN,4019
doel,NOUN,483
overhouden,VERB,61
draaien,VERB,552
beroemd,ADJ,446
frustreren,VERB,4
gek,ADJ,1186
iPhone,NOUN,196
iPad,PROPN,205
tv-kijken,VERB,189
vertrouwen,VERB,92
betrouwbaar,ADJ,35
gamerug,NOUN,1
vierkan,NOUN,25
oog,NOUN,2619
nagelstylist,NOUN,4
nagel,NOUN,236
lakken,VERB,58
lak,NOUN,13
hand,NOUN,1737
ten,NOUN,60
daarvoor,ADV,475
beautykiste,NOUN,1
nagellak,NOUN,52
nagelremover,NOUN,1
